Islam,christianity,Judaism,Hinduism,Buddhism,Confucianism _ Ruism,Taoism _ Daoism
Quran _ Koran,Bible,Torah _ Tanakh,Veda,Tripitaka,Analects,Tao Te Ching
Muslim,christian,Jewish,Hindu,Buddhist,Confucianists,Taoist
islamic,christian,Jewish,Hinduism,Buddhist,Confucius,dao
Mohammed,Jesus,Malachi _ Moses,Ramakrishna _ Krishna,Gautama,Confucius _ Kung Fu-Tzu,Laozi
Allah,God,Yahweh,Brahman,Gautama,N/A,N/A
Mecca,Jerusalem,Jerusalem,Kashi _Varanasi _ Uttar Pradesh,Lumbini _ Bodh Gaya _ Sarnath _ Kushinagar,Mount Tai,Mount Laojun
Mosque,Church,synagogue _ synagog,Mandir _ temple,temple _ monastery,temple,temple
Jihad,Crusades,Milkhemet Mitzvah,N/A,N/A,N/A,N/A
Arabic,Hebrew,Hebrew,Vedic Sanskrit,Pali,Old Chinese,Chinese
imam,pope,Rabbis,Swamis,lama _ guru,N/A,N/A
salah,Mass _ Divine Liturgy _ Divine Service _ Eucharist _ Communion,maarib,Puja,Mantras,N/A,N/A
adhan,bells,Barechu,N/A,N/A,N/A,N/A
surah _ ayat,verse,pasukim,Rigveda Samhita,Pāli Canon,N/A,N/A
Mohammed,Jesus,Moses,Vyasa,Harivarman,Confucius,Laozi
