Islam,Christianity,Judaism,Hinduism,Buddhism,Confucianism,Taoism
Islam,Christianity,Judaism,Hinduism,Buddhism,Confucianism,Taoism
Islam,Christianity,Judaism,Hinduism,Buddhism,Ruism,Taoism
Islam,Christianity,Judaism,Hinduism,Buddhism,Ruism,Daoism
Quran,Bible,Torah,Gita,Tripitaka,Analects,Tao-Te-Ching
Koran,Bible,Tanakh,Veda,Tripitaka,Analects,Tao-Te-Ching
Muslim,Christian,Jewish,Hindu,Buddhist,Confucianist,Taoist
islamic,Christian,Jewish,Hinduism,Buddhist,Confucius,Dao
Mohammed,Jesus,Malachi,Ramakrishna,Gautama,Confucius,Laozi
Mohammed,Jesus,Moses,Krishna,Gautama,Kung-Fu-Tzu,Laozi
Allah,God,Yahweh,Brahman,Gautama,,
Mecca,Jerusalem,Jerusalem,Kashi,Lumbini,Mount-Tai,Mount-Laojun
Mecca,Jerusalem,Jerusalem,Varanasi,Bodh-Gaya,Mount-Tai,Mount-Laojun
Mosque,Church,Synagogue,Mandir,Temple,Temple,Temple
Mosque,Church,Synagog,Temple,Monastery,Temple,Temple
Jihad,Crusades,Milkhemet-Mitzvah,,,,
Arabic,Hebrew,Hebrew,Vedic-Sanskrit,Pali,Old-Chinese,Chinese
Imam,Priest,Rabbi,Swami,Bhikkhu,,
Imam,Priest,Rabbi,Swami,Lama,,
Imam,Priest,Rabbi,Swami,Guru,,
Salah,Mass,Maarib,Puja,Mantras,,
Salah,Divine-Liturgy,Maarib,Puja,Mantras,,
Salah,Divine-Service,Maarib,Puja,Mantras,,
Salah,Eucharist,Maarib,Puja,Mantras,,
Salah,Communion,Maarib,Puja,Mantras,,
Adhan,Bells,Barechu,,,,
Surah,Verse,Pasukim,Rigveda-Samhita,Pāli-Canon,,
Ayat,Verse,Pasukim,Rigveda-Samhita,Pāli-Canon,,
Mohammed,Jesus,Moses,Vyasa,Harivarman,Confucius,Laozi
Arab,American,Israeli,Indian,Nepalese,Chinese,Chinese
Arabic,Hebrew,Hebrew,Vedic-Sanskrit,Pali,Old-Chinese,Chinese
Saudi-Arabia,America,Israel,India,Nepal,China,China
Saudi-Arab,America,Israel,India,Nepal,China,China
